"age","CI5p","median","CI95p","mean","SE","RSE","year","n","v"
16,6296.730089705,18014.6153818,35448.6963935299,19237.3521581542,9796.51800398673,0.509244615550392,2015,NA,95971765.0024362
18,0,21929.0325855,58312.883861815,21823.597030547,21483.6674754281,0.984423761369721,2015,NA,461547968.194769
NA,0,602.756071,2316.8232596,730.8023159982,817.522518942279,1.11866437892391,2015,NA,668343.068977728
2,20421.817713665,70797.4134266,156276.84794058,77651.9241111892,41671.75336627,0.536648046307269,2016,NA,1736535028.61924
3,1529827.45553227,3545903.1369584,5889436.42295426,3635430.00725103,1364166.63921278,0.375242168462022,2016,NA,1860950619541.09
4,831467.55309508,1437878.71936605,2497508.41528158,1525518.0069178,503161.842751404,0.32983015635981,2016,NA,253171840000.989
5,1364830.21278583,2125461.08580365,3440874.23430887,2229837.01684821,652443.156707558,0.292596791504413,2016,NA,425682072734.522
6,1094841.31623137,1693065.71634375,2672559.17406364,1740942.61985504,476445.102967493,0.273670767510513,2016,NA,226999936141.705
7,1852862.14981493,2578394.3121842,3511193.19798418,2603243.57398113,511815.46306745,0.196606828566845,2016,NA,261955068234.948
8,544332.52108301,943523.98200665,1372500.58474296,951580.31720169,249810.6447906,0.262521870487209,2016,NA,62405358250.6952
9,814478.865521135,1083023.82261755,1414162.6757976,1093599.88938664,183308.740739254,0.167619567739774,2016,NA,33602094431.411
10,1342893.72098369,1792516.1843461,2313845.78729027,1811459.0326222,294989.740755858,0.16284648752384,2016,NA,87018947151.2081
11,1315402.38240131,1848334.08205935,2414961.60098507,1858432.82174505,329131.192783015,0.177101474388492,2016,NA,108327342062.77
12,2116433.90194017,2860728.3871703,3639231.87420092,2870425.7502676,452711.683106316,0.157715866039772,2016,NA,204947868020.953
13,649636.765522135,934954.39160755,1267239.20493296,940075.466779702,189919.641428494,0.202025952319634,2016,NA,36069470200.3278
14,261880.990590165,433117.40487195,633624.860452185,438978.355774904,110663.940544728,0.252094298247072,2016,NA,12246507736.887
15,29407.91327493,69268.85139765,118746.891474285,71102.418394002,27436.1325008827,0.385867782286251,2016,NA,752741366.605991
16,16473.541895915,56419.2954648,122853.308429785,61236.4251961042,33418.6093074036,0.545730897915473,2016,NA,1116803448.04088
17,0,1531.11723685,5823.984403005,1875.1175673408,2064.2952028433,1.10088841297071,2016,NA,4261314.68448188
NA,771.2181456,6683.69707485,30048.544188095,10268.1663061984,10844.5925491137,1.05613721337639,2016,NA,117605187.556293
1,0,8758.46546865,28275.600196505,10471.74244213,8918.21408950922,0.851645668215577,2017,NA,79534542.5463208
2,8392.91321924501,121622.56127005,241409.361495275,124549.990320038,64435.1902556297,0.517344000509837,2017,NA,4151893743.2792
3,169117.749375585,912311.9908396,1627076.17079426,948864.729285755,448554.103110674,0.472727133032247,2017,NA,201200783417.421
4,2396078.83011729,4337526.8534319,6572493.90479581,4395649.61661138,1275029.09605592,0.290066135216401,2017,NA,1625699195789.17
5,738302.797171915,1167098.91113405,1757626.66184588,1192490.1908655,321042.559048921,0.269220293389508,2017,NA,103068324720.68
6,1002903.55052052,1501789.9027418,1998102.95777646,1504372.73550729,313539.650140096,0.20841885972785,2017,NA,98307112209.9739
7,389540.090651715,813412.4252827,1329060.01865466,837206.424574963,283290.029707513,0.338375365252764,2017,NA,80253240931.6839
8,817983.02455516,1383022.03723115,2084962.73555479,1415777.35709538,394662.427535904,0.278760234127205,2017,NA,155758431708.533
9,187915.47478104,315140.6386513,479366.08156076,324620.244547709,92004.5722188358,0.283422164095234,2017,NA,8464841309.17097
10,419384.826355365,713696.4853596,1163947.82166451,743312.170667253,230147.009219958,0.3096236255803,2017,NA,52967645852.8914
11,661328.813304425,980395.13917375,1402413.3473946,1004222.06612666,228066.819422669,0.227107954620371,2017,NA,52014474121.5722
12,1032871.63150685,1723859.6177423,2563933.11670352,1751342.09464818,492552.837550097,0.281243075841812,2017,NA,242608297778.652
13,1452851.91900926,2200041.38005025,3194189.58610793,2235548.63458411,538832.854874994,0.241029359209283,2017,NA,290340845492.736
14,270140.164203475,496118.0513488,830412.811052185,515098.393896005,175577.768836494,0.34086258259998,2017,NA,30827552909.6013
15,101043.55601972,190481.76997295,338650.495321795,202017.684448082,75003.0994055148,0.371269968816964,2017,NA,5625464920.43353
16,3375.678507615,25314.6043515,62941.101833075,27557.5850925686,18496.6806428427,0.671201071527514,2017,NA,342127194.803312
18,0,10183.41257395,23461.821269565,9504.5077482822,8703.13664988159,0.915685154915524,2017,NA,75744587.5465121
NA,0,13253.6690739,50433.9970162999,16939.4857686294,17305.6512648868,1.021616092794,2017,NA,299485565.701877
2,107828.13024128,492260.3318786,1330082.76965437,580997.67767378,392032.942193162,0.674758191397249,2018,NA,153689827764.627
3,280173.475156165,981711.6564936,2555932.74553483,1130233.93977991,723391.301440183,0.640036788827142,2018,NA,523294974999.321
