"age","CI5p","median","CI95p","mean","SE","RSE","year","n","v","i"
11,39046.87856399,67697.890959,102283.959528845,68171.8056006808,19146.5300274669,0.280857017923487,1999,118,366589612.09269,0.124
12,0,60.3535283,162.855986235,61.1469788064,54.0526632204345,0.883979295061706,1999,118,2921.69040122172,NA
13,0,0,0,0,0,NA,1999,118,0,NA
14,116062.021085965,167986.5967473,234868.050665815,170533.117569811,37360.1992697354,0.219078849915714,1999,118,1395784489.47434,NA
15,0,0,0,0,0,NA,1999,118,0,NA
16,154240.288306115,207885.02366075,281681.506913735,212389.181424747,40145.6439977581,0.189019251020478,1999,118,1611672731.99473,NA
2,0,25992.06989005,78947.725694195,30622.2018282414,25705.7512192234,0.83944816781647,1998,108,660785645.744605,NA
3,1204.300163045,133572.2202373,318791.68047268,136436.531731591,102429.17250421,0.750745941752002,1998,108,10491735379.8972,0.33
4,305173.17156709,584594.42367855,1026668.51138544,607988.085423099,219314.448643103,0.360721622514169,1998,108,48098827383.6283,0.984
5,1020332.54262587,1625980.7431545,2436127.54814913,1673856.60684254,447784.526337563,0.267516658539966,1998,108,200510982027.356,3.012
6,3933512.91195492,6217197.00371775,9295254.55152818,6354754.62639464,1643521.72360463,0.258628667860474,1998,108,2701163655960.34,13.089
7,3116262.08115196,4511066.43305045,6323976.63250847,4585721.11083476,972664.475717917,0.21210720238084,1998,108,946076182323.61,8.214
8,716370.28033908,1060279.55750415,1509967.66918867,1080134.56182685,245361.113374581,0.227157913509959,1998,108,60202075956.4141,1.909
9,261706.07158138,392867.8311365,559335.3745038,398175.449325516,92091.7100470251,0.231284249702041,1998,108,8480883059.38534,0.588
10,68489.12226051,119724.2378198,198788.27198942,125015.466341228,39982.0987330872,0.319817218646825,1998,108,1598568219.10233,0.194
11,0,19081.27456985,42333.923926515,18424.9451938924,15403.1907482469,0.835996557175803,1998,108,237258285.226879,0.035
12,0,0,0,0,0,NA,1998,108,0,NA
13,107109.194778335,173340.1030936,265313.62966276,177612.207850566,49991.3598741458,0.281463534962675,1998,108,2499136062.06636,NA
14,0,0,0,0,0,NA,1998,108,0,NA
15,387819.243327335,632946.7256907,983830.362078055,652867.373882401,183835.620569871,0.281581877000005,1998,108,33795535390.3095,NA
16,0,0,0,0,0,NA,1998,108,0,NA
17,0,6052.0442903,19878.11467298,6499.4966878048,6829.90256474141,1.0508356097106,1998,108,46647569.0438613,NA
2,17875.569369155,45918.67287455,92761.24012795,48774.1626777468,24247.6671513109,0.497141638525225,1996,64,587949362.280764,NA
3,34448.764630735,76711.96399295,153527.29701608,82917.631754479,38639.3524775079,0.465996817081317,1996,64,1492999559.8811,0.147
4,709666.710454375,1084536.40189495,1567141.42596703,1106249.07709039,259017.119841666,0.234139964684013,1996,64,67089868371.0719,1.885
5,3441348.80504398,4624961.33144945,6247117.61678282,4705586.29291496,855430.662682395,0.181790452758329,1996,64,731761618657.242,7.923
6,1311961.33578708,1650345.47179315,2004917.17623966,1651525.62395945,211274.027142064,0.127926581384517,1996,64,44636714544.8256,2.384
7,410824.352030695,609957.23168245,814922.09136474,612489.84389699,126136.670968438,0.205940836775168,1996,64,15910459763.0001,0.887
8,104094.266389515,178448.13672305,257347.9648815,178087.902352003,48787.3751804707,0.273951091209099,1996,64,2380207977.00001,0.314
9,0,0,0,0,0,NA,1996,64,0,NA
10,0,344.44898,1043.79143075,372.9889766178,388.135038148549,1.04060726316389,1996,64,150648.807838576,NA
11,29457.61040187,104756.4417517,179286.730207075,101252.070614847,49156.5910818983,0.48548726740498,1996,64,2416370446.79296,0.121
12,0,0,0,0,0,NA,1996,64,0,NA
13,799379.260402365,1285775.4886945,1813735.09532364,1292249.75100601,309870.665938145,0.239791623636927,1996,64,96019829608.9492,NA
1,0,524138.19287625,1745715.05912019,597588.077036838,625077.292242636,1.0460002738711,1995,59,390721621277.385,NA
2,0,0,0,0,0,NA,1995,59,0,NA
3,166046.599778975,280319.92457715,478427.466540395,296313.494355056,95363.7745574973,0.321834058772997,1995,59,9094249497.85316,0.409
4,2523137.56138315,3461744.67188365,4782193.57643169,3527647.19835716,688769.253489152,0.195248905222131,1995,59,474403084552.003,4.643
5,2280974.4294696,2835084.32306975,3508281.00899197,2856641.64871462,385979.888560204,0.135116663559771,1995,59,148980474372.947,3.186
6,1471456.05372697,1922214.36876445,2445126.86365684,1940423.69316168,289504.653723335,0.149196618626947,1995,59,83812944527.468,1.986
7,165366.19111336,245037.11218095,353996.77194745,252334.985309617,57912.2814406762,0.229505557343217,1995,59,3353832341.66409,0.292
8,0,11817.01448365,24222.118823895,12985.5643773184,7139.00356444755,0.549764596825464,1995,59,50965371.8931949,0.018
9,0,0,0,0,0,NA,1995,59,0,NA
10,56768.86989487,96535.67307765,147184.205983095,99095.6561609932,28485.7523409176,0.28745712420168,1995,59,811438086.428092,0.141
11,23575.366317215,55220.73854125,92172.62953306,56240.8834596072,27602.12078876,0.490783911824289,1995,59,761877072.037296,0.076
12,1843175.36184797,2361290.8328262,2981578.43481919,2380300.25838701,358273.828503257,0.150516233084829,1995,59,128360136190.381,NA
2,0,18710.7726561,43784.07485143,20118.472119475,13987.2576477726,0.695244527750828,1994,35,195643376.505173,NA
3,22514.610223655,64807.44625555,118246.689483175,66066.9826319354,29527.1899273493,0.446928083455056,1994,35,871854945.005761,0.099
4,17096.91632812,34456.25474675,56083.205362905,35165.4996157204,11869.1195500105,0.337521709622022,1994,35,140875998.892441,0.048
5,553364.07898854,772541.47570335,1035590.55090043,787381.207328154,144883.078929383,0.184006269874054,1994,35,20991106560.0577,0.851
6,318107.78939044,482343.06495925,667475.42980091,485090.745106849,106735.02619768,0.220031050425772,1994,35,11392365817.4195,0.48
7,29874.26023358,59448.6781901,90481.319323995,60178.7456228306,18335.2222553627,0.30467936919587,1994,35,336180375.153549,0.073
8,0,12434.69008305,26022.865293465,13013.4280616736,7548.06172241875,0.580021012652989,1994,35,56973235.765443,0.015
9,102404.713701425,151897.70844335,219692.017830965,155048.532377539,36769.3738471277,0.237147512996738,1994,35,1351986853.10984,0.152
10,29780.87793411,48082.102187,78658.275337875,50328.1340852588,15484.5275799458,0.307671402117037,1994,35,239770594.374103,0.043
11,1469662.31371133,1877199.25401865,2402585.57479731,1894646.59218487,295891.216155802,0.156172247307919,1994,35,87551611798.1593,1.838
12,0,3377.69328035,8357.739296555,3175.267776466,3334.27994202145,1.05007834826845,1994,35,11117422.7317666,NA
13,0,4502.3321013,10030.38903021,4039.6910050182,3606.41305146768,0.892744778496105,1994,35,13006215.0977964,NA
1,0,433.9232107,1739.907401125,567.6593160302,620.616968231418,1.09329125886908,1989,31,385165.421256757,NA
2,37299.20949743,129547.1638794,304553.92851456,143957.681252271,84620.7075704999,0.587816550213884,1989,31,7160664149.73205,NA
3,0,8705.38240075,22844.401725645,9396.7949509336,7550.98062944068,0.803569798944104,1989,31,57017308.4661884,0.017
4,126730.5782313,264448.4870789,480143.933735525,281182.238640462,112935.63326754,0.401645686489986,1989,31,12754457261.5402,0.336
5,42418.56986638,84989.3432376,138459.34397785,87639.7447319736,30072.772706778,0.343140806705323,1989,31,904371658.273534,0.089
6,2674084.67193992,4153785.4963509,6245322.45391843,4261119.18041624,1123266.28222836,0.263608276292951,1989,31,1261727140791.11,3.995
7,46907.71539277,136718.7115081,279550.856736895,148214.583988218,72459.1254513108,0.488879862571895,1989,31,5250324861.1688,0.106
8,0,14062.49610615,42298.75212065,16799.7042255908,13081.6278647091,0.778682034459989,1989,31,171128987.590734,0.012
9,0,5345.74839945,17366.32121666,6012.9132263066,6506.07659490891,1.08201737660951,1989,31,42329032.6588215,0.008
10,10952.51825742,63545.89946345,150588.92155068,70027.5469097158,42299.4267403065,0.604039818713653,1989,31,1789241502.55856,0.059
11,0,0,0,0,0,NA,1989,31,0,NA
12,0,3412.7028319,13425.14042231,4130.6363028062,4728.71331009747,1.14479052703937,1989,31,22360729.569093,NA
13,16832.826624855,49939.1363088,109522.96199904,54894.2131959712,29211.6174964827,0.532143841686879,1989,31,853318596.760813,NA
14,0,0,0,0,0,NA,1989,31,0,NA
15,0,3202.64225575,13976.367662525,4316.329678489,5109.37990506845,1.18373254261177,1989,31,26105763.0143173,NA
16,0,4004.11246565,19845.633755445,5819.3139405478,7929.84285637994,1.3626765865176,1989,31,62882407.72688,NA
3,98693.95218134,201723.735574,326482.56752634,209212.7121571,97989.1418960622,0.468370879024221,1988,32,9601871929.52661,0.375
4,141769.6144041,185019.4491898,274724.96973662,198753.58478248,61278.8848248722,0.308315872098292,1988,32,3755101725.37995,0.299
5,5620010.6065508,7985696.224478,10279107.533988,8068426.68447596,2012102.8885314,0.249379831684259,1988,32,4048558034036.41,8.066
6,72354.78270264,93290.0360129,176556.2683048,117068.20699652,48793.4532292738,0.416795084516193,1988,32,2380801078.03733,0.086
7,2241.83971948,20189.2654862,31619.01987458,18176.02228744,12942.6110508775,0.712070597526782,1988,32,167511180.814297,0.033
8,0,0,0,0,0,NA,1988,32,0,0.011
9,21378.4601388,29901.4246765,53494.7964789,35065.55696348,14233.4029456414,0.405908366448169,1988,32,202589759.412993,0.038
10,0,15343.8417696,24978.17417696,12390.78623084,11932.9144805818,0.963047401373238,1988,32,142394448.000878,0.022
